product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
ASUS VivoBook 16X AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Th...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,64 bit Windows 11 Operating System,512.0,40.64,4.4
HP Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3037tu Thin and Light Lapto...,very low,Good,Intel Celeron Dual Core Processor,8.0,64 bit Windows 11 Operating System,256.0,35.56,3.8
HP Pavilion x360 Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-EK1021TU 2 in 1 Laptop,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
Apple 2021 Macbook Pro Apple M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1H3HN/A,Very Expensive,Excellent,Apple M1 Max Processor,32.0,Mac OS Operating System,1000.0,41.15,4.2
MICROSOFT Surface Pro 9 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) QEZ-00048 Thi...,Moderate,Good,Intel Core i5 Processor (12th Gen),8.0,Windows 11 Operating System,256.0,33.02,3.1
Acer Aspire 5 gaming Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,low,Excellent,Intel Core i5 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.1
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,256.0,39.62,4.1
realme Book Prime Intel Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin a...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,35.56,4.2
DELL Latitude Intel Core i3 11th Gen Core i3-1115G4 - (8 GB/256 GB SSD/Ubuntu) 3420 Business Laptop,very low,Good,Intel Core i3 Processor (11th Gen),8.0,64 bit Linux/Ubuntu Operating System,256.0,35.56,4.0
Apple 2022 MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,Moderate,Excellent,Apple M2 Processor,8.0,Mac OS Operating System,256.0,34.54,4.7
AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,very low,Good,Intel Celeron Dual Core Processor,4.0,Windows 11 Home Operating System,256.0,39.62,3.6
ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 5S Th...,low,Good,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,3.9
HP Pavilion 15 (2023) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-eg2017TU Thi...,low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.4
HP G9 Intel Core i3 12th Gen 1220U - (8 GB/512 GB SSD/Windows 11 Pro) 240 G9 Laptop,very low,bad,Intel Core i3 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,35.56,2.0
Lenovo IdeaPad Slim 3 Intel Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 ...,very low,Good,Intel Celeron Dual Core Processor,8.0,64 bit Windows 11 Operating System,256.0,39.62,3.8
Ultimus Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-CS Th...,very low,Good,Intel Celeron Dual Core Processor,4.0,Windows 11 Operating System,35.81,1.0,3.9
HP 15s (2023) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU Thin and Li...,low,Excellent,Intel Core i3 Processor (13th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.2
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.5
Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...,Moderate,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.5
MSI Modern 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-218IN Thi...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,35.56,4.4
DELL Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light La...,low,Good,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,3.4
MSI Cyborg 15 AI Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,Moderate,Good,Intel Core Ultra 7 Processor,16.0,Windows 11 Operating System,1000.0,39.62,3.8
Acer Predator Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,Expensive,Excellent,Intel Core i9 Processor (13th Gen),16.0,Windows 11 Operating System,1000.0,40.64,4.6
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,low,Excellent,Intel Core i5 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.3
