product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
Ultimus Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-CS Th...,very low,Meduim,Intel Celeron Dual Core Processor,4.0,Windows 11 Operating System,35.81,1.0,3.0
Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and...,low,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
ASUS Vivobook Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 10 Home) X515MA-BR022WS Thin an...,very low,Good,Intel Celeron Dual Core Processor,8.0,64 bit Windows 11 Operating System,512.0,39.62,3.9
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA3IN ...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.5
ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.5
ASUS TUF Gaming F15 with 90Whr Battery with 90WHr Battery Intel H-Series Intel Core i5 11th Gen 11400H...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.7
ASUS Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) X1400EA-EK543WS Thin and Light...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
ASUS Zenbook 14 Flip AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home) UN5401QA-KN701WS 2...,Moderate,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,64 bit Windows 11 Operating System,1000.0,35.56,4.4
ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.3
ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1502QA-EJ742WS Thi...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
ASUS Vivobook 16 (2023) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1605VAB-MB5...,low,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.5
HP 15s Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light La...,low,Excellent,Intel Core i5 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.3
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.2
MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.2
Acer Aspire 5 Gaming Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,512.0,39.62,4.1
HP G9 Intel Core i3 12th Gen 1220U - (8 GB/512 GB SSD/Windows 11 Pro) 240 G9 Laptop,very low,Meduim,Intel Core i3 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,35.56,2.9
